question,intent,answer
 ازاي اقسط فاتورة الكهربا يا برنس؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ممكن اقسط مديونيتي في فاتورة الكهربا يا زعيم؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ايه الحكاية اني اقسط فاتورة الكهربا يا معلم؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 انا عايز اقسط فاتورة الكهربا يا حبيبي، ايه الطريقة؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ازاي اقسط مديونيتي في فاتورة الكهربا يا غالي؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ممكن تفهمني ازاي اقسط فاتورة الكهربا يا حاج؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 انا عايز اقسط مديونيتي في فاتورة الكهربا يا صاحبي، ايه الحكاية؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ازاي اقسط فاتورة الكهربا يا حضرة المستشار؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ممكن تديني الطريقة علشان اقسط مديونيتي في فاتورة الكهربا يا دكتور؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 انا عايز اقسط فاتورة الكهربا يا سيدي، ايه الحكاية؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 كيف يمكنني التنازل عن ملكية عداد الكهرباء؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ما هي الخطوات اللازمة لتنازل عن ملكية عداد الكهرباء؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يمكنني التنازل عن ملكية عداد الكهرباء عن بعد؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يتطلب التنازل عن ملكية عداد الكهرباء حضوري شخصياً؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يوجد رسوم محددة لتنازل عن ملكية عداد الكهرباء؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يمكنني التنازل عن ملكية عداد الكهرباء إذا كان باسم شخص آخر؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يمكنني التنازل عن ملكية عداد الكهرباء إذا كان موجوداً في شقتي المستأجرة؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يمكنني التنازل عن ملكية عداد الكهرباء إذا كان باسم شركة؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يمكنني التنازل عن ملكية عداد الكهرباء إذا كان باسم والدي المتوفى؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يمكنني التنازل عن ملكية عداد الكهرباء إذا كان باسم زوجي المتوفى؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ازاي انا اقدر ابيع العداد الكهربائي؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 عايز اعمل تنازل عن العداد، ايه الخطوات؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ازاي انا اعرف اني انا مالك العداد الكهربائي؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 انا عايز انا انقل العداد لحد تاني، ايه الاجراءات؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ازاي انا اعرف ان العداد باسمي ولا لأ؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 انا عايز انا انقل العداد لشقة تانية، ايه الاجراءات؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ازاي انا اعرف ان العداد مش باسمي ولا لأ؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 انا عايز انا انقل العداد لاسم شركة، ايه الاجراءات؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ازاي انا اعرف ان العداد مش باسمي ولا باسم حد تاني؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 انا عايز انا انقل العداد لاسم والدي المتوفي، ايه الاجراءات؟,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 تنازل عن ملكية عداد في الكهرباء,Assignment_of_ownership_of_the_(electricity)_meter_(electricity_platform),"{'custom': {'Answer': 'تنازل عن ملكية عداد (الكهرباء)\n \nتنازل عن ملكية عداد\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/ROM/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nنوع اثبات التنازل\nاثبات التنازل الموثق من الشهر العقارى\nمرفق محضر التحريات\n \nالمتطلبات :العداد\nاسم مقدم الطلب\nأحدث قراءة للعداد', 'Name': 'تنازل عن ملكية عداد (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 كيف يمكنني استبدال عداد الكهرباء بآخر ذو قدرة أكبر؟,Replacing_a_meter_with_a_larger_capacity_(electricity)_(electricity_platform),"{'custom': {'Answer': 'استبدال عداد بقدرة أكبر (الكهرباء)\n \nطلب المنتفع تركيب عداد بقدرة اكبر يتناسب مع زيادة الاحمال عن القدرة المتعاقد عليها\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/RMLP/add\n \nالمستندات المطلوبة :صورة حديثة للعداد (قراءة العداد تكون واضحة)\nمرفقات\n \nالمتطلبات :نوع الهوية\nرقم الهوية\nاسم مقدم الطلب\nرقم الموبايل\nالعداد\nأحدث قراءة للعداد\nجهة الموافقة\nاسم جهة الموافقة\nرقم صادر جهة الموافقة\nالقدرة الجديدة المطلوب الوصول اليها للعداد - مواطن (KVA)\nمطلوب تركيب محول خاص؟', 'Name': 'استبدال عداد بقدرة أكبر (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
